4;3.508;3.506;483427;483430
4;0.148;0.149;2459;2697
5;0.179;0.179;690;891
21;4.045;4.045;483427;483447
28;0.941;0.941;60;143
5;0.371;0.378;27106;32139
6;0.209;0.209;35;50
6;0.19;0.19;76;143
4;6.557;6.652;743282;1082709
5;3.374;3.416;373831;599284
5;3.814;3.862;377500;631560
21;0.719;0.719;3443;3463
23;0.802;0.802;682;705
23;0.801;0.802;683;708
3;6.44;6.498;720630;1057799
5;4.057;4.122;571507;595149
5;3.616;3.669;365143;643772
10;1.383;1.388;27456;122453
10;0.329;0.329;219;1122
9;0.3;0.3;169;482
14;0.493;0.493;381;716
5;0.268;0.27;10534;13394
23;0.828;0.828;48;139
13;0.427;0.427;139;173
49;1.724;1.724;36;148
11;3.622;3.671;483699;483909
4;0.132;0.132;172;181
4;0.127;0.127;21;25
4;0.181;0.181;1052;1428
36;1.222;1.222;276;331
6;3.46;3.532;483432;483438
4;3.449;3.502;483430;483434
35;1.261;1.262;455;1190
26;4.302;4.362;483476;483526
35;8.4;8.454;190098;818808
4;0.149;0.149;704;708
4;0.127;0.127;4;7
4;0.132;0.132;1;4
6;0.269;0.27;2153;5125
6;0.206;0.206;1380;1807
6;0.21;0.21;1000;1259
3;6.626;6.692;720630;1057799
6;0.872;0.897;112000;113003
6;4.426;4.486;358549;791543
3;0.119;0.119;440;458
16;3.803;3.852;483502;483861
8;3.584;3.643;484687;485015
25;2.962;2.97;34033;237067
15;0.491;0.491;285;355
10;0.352;0.352;278;335
2;0.096;0.095;3367;3370
5;0.155;0.155;103;111
3;0.142;0.142;347;366
27;0.935;0.935;32;71
18;3.906;3.956;483427;483542
7;0.244;0.244;90;105
9;0.341;0.341;122;534
7;3.868;3.929;488647;521811
7;3.857;3.924;488592;522350
5;0.165;0.165;2;6
5;0.16;0.16;2;6
5;0.162;0.162;1;5
7;0.314;0.314;1996;6062
7;0.243;0.244;1617;2155
6;0.203;0.203;613;750
5;0.184;0.184;1;5
1;0.085;0.085;7300;7300
5;0.17;0.17;12;16
19;0.681;0.682;3003;5856
6;3.637;3.689;487518;502361
8;4.047;4.113;488275;502633
2;0.071;0.071;8;9
3;0.11;0.111;2185;2187
6;0.197;0.197;7;17
6;0.555;0.56;23302;36772
12;0.429;0.429;703;1018
15;0.526;0.526;302;350
14;0.479;0.479;6;30
14;0.522;0.522;1;14
12;0.478;0.478;572;665
3;6.48;6.541;720630;1057799
8;4.339;4.413;576438;602749
8;4.745;4.812;360699;812939
24;0.844;0.844;262;309
23;0.826;0.826;21;61
23;0.791;0.791;66;110
6;0.754;0.765;48067;97061
6;0.465;0.472;36579;43713
6;0.523;0.535;41011;59883
5;0.649;0.661;44028;87302
5;0.363;0.368;30506;37356
5;0.456;0.467;37340;55037
26;0.912;0.912;478;1388
9;0.304;0.304;394;732
19;0.645;0.645;195;530
6;0.81;0.829;63108;100579
1;0.051;0.05;3128;3128
6;0.287;0.289;12285;12669
5;0.656;0.662;44028;87302
5;0.375;0.383;30515;37377
5;0.481;0.487;37340;55027
15;0.536;0.536;18;43
5;3.475;3.53;483434;483440
15;0.593;0.593;49;69
3;6.464;6.527;720630;1057799
6;0.913;0.933;114239;115251
6;4.266;4.322;357581;754876
11;0.39;0.39;1;11
5;2.518;2.542;128759;301564
11;0.443;0.443;17;30
6;0.211;0.211;11;16
5;0.226;0.227;10152;10160
5;0.279;0.279;10151;10155
25;1.874;1.876;14995;121565
5;0.202;0.202;603;1137
7;0.254;0.254;758;1489
3;7.181;7.244;720630;1057799
16;1.199;1.228;111279;111425
14;3.941;3.994;358601;615222
6;0.258;0.258;1;6
2;0.5;0.501;60536;60538
2;0.805;0.801;89927;93381
2;0.075;0.075;626;627
3;0.106;0.106;1;3
3;0.109;0.109;626;628
21;0.788;0.788;2953;3575
11;5.558;5.628;494213;738441
10;5.566;5.634;494331;736963
7;0.271;0.271;235;267
8;4.039;4.089;483617;483660
8;3.807;3.902;483642;483684
25;1.076;1.076;3057;3967
14;6.698;6.769;495484;834300
15;7.232;7.358;495792;838505
11;0.801;0.801;1917;2507
2;5.131;5.133;483669;484220
1;3.755;3.756;483427;483427
7;0.256;0.256;345;555
7;0.448;0.449;7312;14564
1;0.167;0.166;16046;16046
2;5.595;5.593;711842;824646
4;0.826;0.85;111245;111260
4;2.16;2.192;341614;342936
11;0.528;0.528;4494;10919
